hgnc_symbol,ensembl_gene_id,entrezgene_id,mgi_symbol,ensembl_gene_id_mouse,entrezgene_id_mouse
GAB1,ENSG00000109458,2549,Gab1,ENSMUSG00000031714,14388
GABBR2,ENSG00000136928,9568,Gabbr2,ENSMUSG00000039809,242425
GABRG1,ENSG00000163285,2565,Gabrg1,ENSMUSG00000001260,14405
GDAP1L1,ENSG00000124194,78997,Gdap1l1,ENSMUSG00000017943,228858
GFRA2,ENSG00000168546,2675,Gfra2,ENSMUSG00000022103,14586
GJA1,ENSG00000152661,2697,Gja1,ENSMUSG00000050953,14609
GLOD4,ENSG00000167699,51031,Glod4,ENSMUSG00000017286,67201
GLT1D1,ENSG00000151948,144423,Glt1d1,ENSMUSG00000049971,319804
GLTP,ENSG00000139433,51228,Gltp,ENSMUSG00000011884,56356
GLUD1,ENSG00000148672,2746,Glud1,ENSMUSG00000021794,14661
GNA12,ENSG00000146535,2768,Gna12,ENSMUSG00000000149,14673
GNA13,ENSG00000120063,10672,Gna13,ENSMUSG00000020611,14674
GNG11,ENSG00000127920,2791,Gng11,ENSMUSG00000032766,66066
GNG12,ENSG00000172380,55970,Gng12,ENSMUSG00000036402,14701
GNS,ENSG00000135677,2799,Gns,ENSMUSG00000034707,75612
GOLIM4,ENSG00000173905,27333,Golim4,ENSMUSG00000034109,73124
GPC1,ENSG00000063660,2817,Gpc1,ENSMUSG00000034220,14733
GPI,ENSG00000105220,2821,Gpi1,ENSMUSG00000036427,14751
GPR158,ENSG00000151025,57512,Gpr158,ENSMUSG00000045967,241263
GPR62,ENSG00000180929,118442,Gpr62,ENSMUSG00000091735,436090
GPRC5B,ENSG00000167191,51704,Gprc5b,ENSMUSG00000008734,64297
GRAMD2B,ENSG00000155324,65983,Gramd3,ENSMUSG00000001700,107022
GSTZ1,ENSG00000100577,2954,Gstz1,ENSMUSG00000021033,14874
GTPBP4,ENSG00000107937,23560,Gtpbp4,ENSMUSG00000021149,69237
GUCY1B1,ENSG00000061918,2983,Gucy1b1,ENSMUSG00000028005,54195
HSD17B8,ENSG00000204228,7923,H2-Ke6,ENSMUSG00000073422,14979
H2AZ1,ENSG00000164032,3015,H2afz,ENSMUSG00000037894,51788
HADHB,ENSG00000138029,3032,Hadhb,ENSMUSG00000059447,231086
HECA,ENSG00000112406,51696,Heca,ENSMUSG00000039879,380629
HECW1,ENSG00000002746,23072,Hecw1,ENSMUSG00000021301,94253
HERPUD2,ENSG00000122557,64224,Herpud2,ENSMUSG00000008429,80517
HGSNAT,ENSG00000165102,138050,Hgsnat,ENSMUSG00000037260,52120
HINT2,ENSG00000137133,84681,Hint2,ENSMUSG00000028470,68917
HIP1,ENSG00000127946,3092,Hip1,ENSMUSG00000039959,215114
HLTF,ENSG00000071794,6596,Hltf,ENSMUSG00000002428,20585
HNRNPF,ENSG00000169813,3185,Hnrnpf,ENSMUSG00000042079,98758
HP1BP3,ENSG00000127483,50809,Hp1bp3,ENSMUSG00000028759,15441
HSBP1,ENSG00000230989,3281,Hsbp1,ENSMUSG00000031839,68196
HSDL2,ENSG00000119471,84263,Hsdl2,ENSMUSG00000028383,72479
HSP90AA1,ENSG00000080824,3320,Hsp90aa1,ENSMUSG00000021270,15519
HSPA1B,ENSG00000204388,3304,Hspa1b,ENSMUSG00000090877,15511
HSPA2,ENSG00000126803,3306,Hspa2,ENSMUSG00000059970,15512
HSPA4,ENSG00000170606,3308,Hspa4,ENSMUSG00000020361,15525
HSPB8,ENSG00000152137,26353,Hspb8,ENSMUSG00000041548,80888
HSPH1,ENSG00000120694,10808,Hsph1,ENSMUSG00000029657,15505
IBTK,ENSG00000005700,25998,Ibtk,ENSMUSG00000035941,108837
ICA1,ENSG00000003147,3382,Ica1,ENSMUSG00000062995,15893
ICA1L,ENSG00000163596,130026,Ica1l,ENSMUSG00000026018,70375
IDH2,ENSG00000182054,3418,Idh2,ENSMUSG00000030541,269951
IDNK,ENSG00000148057,414328,Idnk,ENSMUSG00000050002,75731
IFT27,ENSG00000100360,11020,Ift27,ENSMUSG00000016637,67042
IL17D,ENSG00000172458,53342,Il17d,ENSMUSG00000050222,239114
IMP3,ENSG00000177971,55272,Imp3,ENSMUSG00000032288,102462
IMPACT,ENSG00000154059,55364,Impact,ENSMUSG00000024423,16210
INHA,ENSG00000123999,3623,Inha,ENSMUSG00000032968,16322
INPPL1,ENSG00000165458,3636,Inppl1,ENSMUSG00000032737,16332
ITGA6,ENSG00000091409,3655,Itga6,ENSMUSG00000027111,16403
ITGB1,ENSG00000150093,3688,Itgb1,ENSMUSG00000025809,16412
ITGB5,ENSG00000082781,3693,Itgb5,ENSMUSG00000022817,16419
ITGB8,ENSG00000105855,3696,Itgb8,ENSMUSG00000025321,320910
ITPKB,ENSG00000143772,3707,Itpkb,ENSMUSG00000038855,320404
JMJD6,ENSG00000070495,23210,Jmjd6,ENSMUSG00000056962,107817
KANK1,ENSG00000107104,23189,Kank1,ENSMUSG00000032702,107351
KCNIP4,ENSG00000185774,80333,Kcnip4,ENSMUSG00000029088,80334
KCTD1,ENSG00000134504,284252,Kctd1,ENSMUSG00000036225,106931
KIF13B,ENSG00000197892,23303,Kif13b,ENSMUSG00000060012,16554
KIF1C,ENSG00000129250,10749,Kif1c,ENSMUSG00000020821,16562
KLC2,ENSG00000174996,64837,Klc2,ENSMUSG00000024862,16594
KLHL21,ENSG00000162413,9903,Klhl21,ENSMUSG00000073700,242785
KTN1,ENSG00000126777,3895,Ktn1,ENSMUSG00000021843,16709
LAPTM5,ENSG00000162511,7805,Laptm5,ENSMUSG00000028581,16792
LATS2,ENSG00000150457,26524,Lats2,ENSMUSG00000021959,50523
LCP1,ENSG00000136167,3936,Lcp1,ENSMUSG00000021998,18826
LEPROT,ENSG00000213625,54741,Leprot,ENSMUSG00000035212,230514
LGR5,ENSG00000139292,8549,Lgr5,ENSMUSG00000020140,14160
LHFPL2,ENSG00000145685,10184,Lhfpl2,ENSMUSG00000045312,218454
LIFR,ENSG00000113594,3977,Lifr,ENSMUSG00000054263,16880
LIMK2,ENSG00000182541,3985,Limk2,ENSMUSG00000020451,16886
LIMS1,ENSG00000169756,3987,Lims1,ENSMUSG00000019920,110829
LMO2,ENSG00000135363,4005,Lmo2,ENSMUSG00000032698,16909
LNX1,ENSG00000072201,84708,Lnx1,ENSMUSG00000029228,16924
LRP10,ENSG00000197324,26020,Lrp10,ENSMUSG00000022175,65107
LRP4,ENSG00000134569,4038,Lrp4,ENSMUSG00000027253,228357
LRRC49,ENSG00000137821,54839,Lrrc49,ENSMUSG00000047766,102747
LRTM2,ENSG00000166159,654429,Lrtm2,ENSMUSG00000055003,211187
LSM4,ENSG00000130520,25804,Lsm4,ENSMUSG00000031848,50783
LYRM9,ENSG00000232859,201229,Lyrm9,ENSMUSG00000072640,66274
MADD,ENSG00000110514,8567,Madd,ENSMUSG00000040687,228355
MAN2A1,ENSG00000112893,4124,Man2a1,ENSMUSG00000024085,17158
MAP3K9,ENSG00000006432,4293,Map3k9,ENSMUSG00000042724,338372
MAP4K5,ENSG00000012983,11183,Map4k5,ENSMUSG00000034761,399510
MAP7,ENSG00000135525,9053,Map7,ENSMUSG00000019996,17761
MAPK6,ENSG00000069956,5597,Mapk6,ENSMUSG00000042688,50772
MBOAT2,ENSG00000143797,129642,Mboat2,ENSMUSG00000020646,67216
MCCC2,ENSG00000131844,64087,Mccc2,ENSMUSG00000021646,78038
MCL1,ENSG00000143384,4170,Mcl1,ENSMUSG00000038612,17210
MEA1,ENSG00000124733,4201,Mea1,ENSMUSG00000002768,17256
MECR,ENSG00000116353,51102,Mecr,ENSMUSG00000028910,26922
MED13L,ENSG00000123066,23389,Med13l,ENSMUSG00000018076,76199
MED14,ENSG00000180182,9282,Med14,ENSMUSG00000064127,26896
MED29,ENSG00000063322,55588,Med29,ENSMUSG00000003444,67224
MEF2C,ENSG00000081189,4208,Mef2c,ENSMUSG00000005583,17260
MFN1,ENSG00000171109,55669,Mfn1,ENSMUSG00000027668,67414
MFSD8,ENSG00000164073,256471,Mfsd8,ENSMUSG00000025759,72175
MGST3,ENSG00000143198,4259,Mgst3,ENSMUSG00000026688,66447
MICAL2,ENSG00000133816,9645,Mical2,ENSMUSG00000038244,320878
MLC1,ENSG00000100427,23209,Mlc1,ENSMUSG00000035805,170790
MOB1A,ENSG00000114978,55233,Mob1a,ENSMUSG00000043131,232157
MOBP,ENSG00000168314,4336,Mobp,ENSMUSG00000032517,17433
MON2,ENSG00000061987,23041,Mon2,ENSMUSG00000034602,67074
MRPS6,ENSG00000243927,64968,Mrps6,ENSMUSG00000039680,121022
MRPS7,ENSG00000125445,51081,Mrps7,ENSMUSG00000046756,50529
MSH2,ENSG00000095002,4436,Msh2,ENSMUSG00000024151,17685
MSI2,ENSG00000153944,124540,Msi2,ENSMUSG00000069769,76626
MTA3,ENSG00000057935,57504,Mta3,ENSMUSG00000055817,116871
MTF2,ENSG00000143033,22823,Mtf2,ENSMUSG00000029267,17765
MTMR10,ENSG00000166912,54893,Mtmr10,ENSMUSG00000030522,233315
MYH9,ENSG00000100345,4627,Myh9,ENSMUSG00000022443,17886
MYL12A,ENSG00000101608,10627,Myl12a,ENSMUSG00000024048,67268
MYL6B,ENSG00000196465,140465,Myl6b,ENSMUSG00000039824,216459
MYO10,ENSG00000145555,4651,Myo10,ENSMUSG00000022272,17909
MYO1C,ENSG00000197879,4641,Myo1c,ENSMUSG00000017774,17913
MYO1E,ENSG00000157483,4643,Myo1e,ENSMUSG00000032220,71602
NAA80,ENSG00000243477,24142,Naa80,ENSMUSG00000079334,56441
NAGA,ENSG00000198951,4668,Naga,ENSMUSG00000022453,17939
NAPB,ENSG00000125814,63908,Napb,ENSMUSG00000027438,17957
NCALD,ENSG00000104490,83988,Ncald,ENSMUSG00000051359,52589
NCOA1,ENSG00000084676,8648,Ncoa1,ENSMUSG00000020647,17977
NDE1,ENSG00000072864,54820,Nde1,ENSMUSG00000022678,67203
NDRG1,ENSG00000104419,10397,Ndrg1,ENSMUSG00000005125,17988
NDUFA2,ENSG00000131495,4695,Ndufa2,ENSMUSG00000014294,17991
NDUFA5,ENSG00000128609,4698,Ndufa5,ENSMUSG00000023089,68202
NDUFAB1,ENSG00000004779,4706,Ndufab1,ENSMUSG00000030869,70316
NECAP1,ENSG00000089818,25977,Necap1,ENSMUSG00000030327,67602
NEDD8,ENSG00000129559,4738,Nedd8,ENSMUSG00000010376,18002
NFIA,ENSG00000162599,4774,Nfia,ENSMUSG00000028565,18027
NFIB,ENSG00000147862,4781,Nfib,ENSMUSG00000008575,18028
NHSL1,ENSG00000135540,57224,Nhsl1,ENSMUSG00000039835,215819
NKX6-2,ENSG00000148826,84504,Nkx6-2,ENSMUSG00000041309,14912
NMRAL1,ENSG00000153406,57407,Nmral1,ENSMUSG00000063445,67824
NPTX2,ENSG00000106236,4885,Nptx2,ENSMUSG00000059991,53324
NRBP2,ENSG00000185189,340371,Nrbp2,ENSMUSG00000075590,223649
NRXN3,ENSG00000021645,9369,Nrxn3,ENSMUSG00000066392,18191
NTRK2,ENSG00000148053,4915,Ntrk2,ENSMUSG00000055254,18212
NUCKS1,ENSG00000069275,64710,Nucks1,ENSMUSG00000026434,98415
NUDT21,ENSG00000167005,11051,Nudt21,ENSMUSG00000031754,68219
NUDT9,ENSG00000170502,53343,Nudt9,ENSMUSG00000029310,74167
NUFIP2,ENSG00000108256,57532,Nufip2,ENSMUSG00000037857,68564
OGFOD3,ENSG00000181396,79701,Ogfod3,ENSMUSG00000025169,66179
OPALIN,ENSG00000197430,93377,Opalin,ENSMUSG00000050121,226115
OTUD4,ENSG00000164164,54726,Otud4,ENSMUSG00000036990,73945
OTUD7B,ENSG00000264522,56957,Otud7b,ENSMUSG00000038495,229603
PADI2,ENSG00000117115,11240,Padi2,ENSMUSG00000028927,18600
PAK3,ENSG00000077264,5063,Pak3,ENSMUSG00000031284,18481
PARD3,ENSG00000148498,56288,Pard3,ENSMUSG00000025812,93742
PARL,ENSG00000175193,55486,Parl,ENSMUSG00000033918,381038
PARM1,ENSG00000169116,25849,Parm1,ENSMUSG00000034981,231440
PBXIP1,ENSG00000163346,57326,Pbxip1,ENSMUSG00000042613,229534
PCBP4,ENSG00000090097,57060,Pcbp4,ENSMUSG00000023495,59092
PCDH9,ENSG00000184226,5101,Pcdh9,ENSMUSG00000055421,211712
PCSK6,ENSG00000140479,5046,Pcsk6,ENSMUSG00000030513,18553
PCYOX1L,ENSG00000145882,78991,Pcyox1l,ENSMUSG00000024579,240334
PDCD6,ENSG00000249915,10016,Pdcd6,ENSMUSG00000021576,18570
PDE1C,ENSG00000154678,5137,Pde1c,ENSMUSG00000004347,18575
PDE8A,ENSG00000073417,5151,Pde8a,ENSMUSG00000025584,18584
PDLIM5,ENSG00000163110,10611,Pdlim5,ENSMUSG00000028273,56376
PER1,ENSG00000179094,5187,Per1,ENSMUSG00000020893,18626
PEX16,ENSG00000121680,9409,Pex16,ENSMUSG00000027222,18633
PFKFB3,ENSG00000170525,5209,Pfkfb3,ENSMUSG00000026773,170768
PGBD5,ENSG00000177614,79605,Pgbd5,ENSMUSG00000050751,209966
PHLDB1,ENSG00000019144,23187,Phldb1,ENSMUSG00000048537,102693
PHLPP1,ENSG00000081913,23239,Phlpp1,ENSMUSG00000044340,98432
PHYHIP,ENSG00000168490,9796,Phyhip,ENSMUSG00000003469,105653
PI4KA,ENSG00000241973,5297,Pi4ka,ENSMUSG00000041720,224020
PICALM,ENSG00000073921,8301,Picalm,ENSMUSG00000039361,233489
PIP4K2A,ENSG00000150867,5305,Pip4k2a,ENSMUSG00000026737,18718
PLEKHA7,ENSG00000166689,144100,Plekha7,ENSMUSG00000045659,233765
PLEKHG3,ENSG00000126822,26030,Plekhg3,ENSMUSG00000052609,263406
PLEKHH1,ENSG00000054690,57475,Plekhh1,ENSMUSG00000060716,211945
PLOD3,ENSG00000106397,8985,Plod3,ENSMUSG00000004846,26433
PODXL,ENSG00000128567,5420,Podxl,ENSMUSG00000025608,27205
POGK,ENSG00000143157,57645,Pogk,ENSMUSG00000040596,71592
PON2,ENSG00000105854,5445,Pon2,ENSMUSG00000032667,330260
POP4,ENSG00000105171,10775,Pop4,ENSMUSG00000030423,66161
PPID,ENSG00000171497,5481,Ppid,ENSMUSG00000027804,67738
PPOX,ENSG00000143224,5498,Ppox,ENSMUSG00000062729,19044
PPP1CC,ENSG00000186298,5501,Ppp1cc,ENSMUSG00000004455,19047
PPP1R2,ENSG00000184203,5504,Ppp1r2,ENSMUSG00000047714,66849
PPP4R2,ENSG00000163605,151987,Ppp4r2,ENSMUSG00000052144,232314
PRELP,ENSG00000188783,5549,Prelp,ENSMUSG00000041577,116847
PREX1,ENSG00000124126,57580,Prex1,ENSMUSG00000039621,277360
PREX2,ENSG00000046889,80243,Prex2,ENSMUSG00000048960,109294
PRICKLE1,ENSG00000139174,144165,Prickle1,ENSMUSG00000036158,106042
PRKAR1B,ENSG00000188191,5575,Prkar1b,ENSMUSG00000025855,19085
PRKD3,ENSG00000115825,23683,Prkd3,ENSMUSG00000024070,75292
PRMT1,ENSG00000126457,3276,Prmt1,ENSMUSG00000109324,15469
PRR18,ENSG00000176381,285800,Prr18,ENSMUSG00000055945,320111
PRR5L,ENSG00000135362,79899,Prr5l,ENSMUSG00000032841,72446
PSMA4,ENSG00000041357,5685,Psma4,ENSMUSG00000032301,26441
PSMB2,ENSG00000126067,5690,Psmb2,ENSMUSG00000028837,26445
PSMC1,ENSG00000100764,5700,Psmc1,ENSMUSG00000021178,19179
PSMD8,ENSG00000099341,5714,Psmd8,ENSMUSG00000030591,57296
PSMG1,ENSG00000183527,8624,Psmg1,ENSMUSG00000022913,56088
PTBP1,ENSG00000011304,5725,Ptbp1,ENSMUSG00000006498,19205
PTP4A2,ENSG00000184007,8073,Ptp4a2,ENSMUSG00000028788,19244
PTPN5,ENSG00000110786,84867,Ptpn5,ENSMUSG00000030854,19259
PTPRN,ENSG00000054356,5798,Ptprn,ENSMUSG00000026204,19275
PTTG1IP,ENSG00000183255,754,Pttg1ip,ENSMUSG00000009291,108705
PYCR3,ENSG00000104524,65263,Pycrl,ENSMUSG00000022571,66194
QDPR,ENSG00000151552,5860,Qdpr,ENSMUSG00000015806,110391
QKI,ENSG00000112531,9444,Qk,ENSMUSG00000062078,19317
RAB13,ENSG00000143545,5872,Rab13,ENSMUSG00000027935,68328
RAB27B,ENSG00000041353,5874,Rab27b,ENSMUSG00000024511,80718
RAB31,ENSG00000168461,11031,Rab31,ENSMUSG00000056515,106572
RANBP1,ENSG00000099901,5902,Ranbp1,ENSMUSG00000005732,19385
RASAL2,ENSG00000075391,9462,Rasal2,ENSMUSG00000070565,226525
RASGRP3,ENSG00000152689,25780,Rasgrp3,ENSMUSG00000071042,240168
RB1,ENSG00000139687,5925,Rb1,ENSMUSG00000022105,19645
RBFOX2,ENSG00000100320,23543,Rbfox2,ENSMUSG00000033565,93686
RBM45,ENSG00000155636,129831,Rbm45,ENSMUSG00000042369,241490
RBM48,ENSG00000127993,84060,Rbm48,ENSMUSG00000040302,269623
RCC1,ENSG00000180198,1104,Rcc1,ENSMUSG00000028896,100088
REEP1,ENSG00000068615,65055,Reep1,ENSMUSG00000052852,52250
REEP3,ENSG00000165476,221035,Reep3,ENSMUSG00000019873,28193
RELL1,ENSG00000181826,768211,Rell1,ENSMUSG00000047881,100532
REPS1,ENSG00000135597,85021,Reps1,ENSMUSG00000019854,19707
RGS4,ENSG00000117152,5999,Rgs4,ENSMUSG00000038530,19736
RGS7,ENSG00000182901,6000,Rgs7,ENSMUSG00000026527,24012
RGS7BP,ENSG00000186479,401190,Rgs7bp,ENSMUSG00000021719,52882
RHOBTB3,ENSG00000164292,22836,Rhobtb3,ENSMUSG00000021589,73296
RHOC,ENSG00000155366,389,Rhoc,ENSMUSG00000002233,11853
RHOQ,ENSG00000119729,23433,Rhoq,ENSMUSG00000024143,104215
RHOU,ENSG00000116574,58480,Rhou,ENSMUSG00000039960,69581
RIN2,ENSG00000132669,54453,Rin2,ENSMUSG00000001768,74030
RNF13,ENSG00000082996,11342,Rnf13,ENSMUSG00000036503,24017
RNF141,ENSG00000110315,50862,Rnf141,ENSMUSG00000030788,67150
RREB1,ENSG00000124782,6239,Rreb1,ENSMUSG00000039087,68750
RTKN,ENSG00000114993,6242,Rtkn,ENSMUSG00000034930,20166
RUNDC3A,ENSG00000108309,10900,Rundc3a,ENSMUSG00000006575,51799
S100A11,ENSG00000163191,6282,S100a11,ENSMUSG00000027907,20195
S1PR1,ENSG00000170989,1901,S1pr1,ENSMUSG00000045092,13609
SAMD12,ENSG00000177570,401474,Samd12,ENSMUSG00000058656,320679
SAMD4A,ENSG00000020577,23034,Samd4,ENSMUSG00000021838,74480
SASH1,ENSG00000111961,23328,Sash1,ENSMUSG00000015305,70097
SAT1,ENSG00000130066,6303,Sat1,ENSMUSG00000025283,20229
SCAF8,ENSG00000213079,22828,Scaf8,ENSMUSG00000046201,106583
SCAI,ENSG00000173611,286205,Scai,ENSMUSG00000035236,320271
SCARB2,ENSG00000138760,950,Scarb2,ENSMUSG00000029426,12492
SCLT1,ENSG00000151466,132320,Sclt1,ENSMUSG00000059834,67161
SEC23IP,ENSG00000107651,11196,Sec23ip,ENSMUSG00000055319,207352
SECISBP2L,ENSG00000138593,9728,Secisbp2l,ENSMUSG00000035093,70354
SEMA6A,ENSG00000092421,57556,Sema6a,ENSMUSG00000019647,20358
SERPINB1,ENSG00000021355,1992,Serpinb1a,ENSMUSG00000044734,66222
SESTD1,ENSG00000187231,91404,Sestd1,ENSMUSG00000042272,228071
SEZ6L2,ENSG00000174938,26470,Sez6l2,ENSMUSG00000030683,233878
SFT2D2,ENSG00000213064,375035,Sft2d2,ENSMUSG00000040848,108735
SH3GLB1,ENSG00000097033,51100,Sh3glb1,ENSMUSG00000037062,54673
SLAIN1,ENSG00000139737,122060,Slain1,ENSMUSG00000055717,105439
SLC25A20,ENSG00000178537,788,Slc25a20,ENSMUSG00000032602,57279
SLC2A13,ENSG00000151229,114134,Slc2a13,ENSMUSG00000036298,239606
SLC38A2,ENSG00000134294,54407,Slc38a2,ENSMUSG00000022462,67760
SLC39A1,ENSG00000143570,27173,Slc39a1,ENSMUSG00000052310,30791
SLC41A1,ENSG00000133065,254428,Slc41a1,ENSMUSG00000013275,98396
SLC44A1,ENSG00000070214,23446,Slc44a1,ENSMUSG00000028412,100434
SLC44A2,ENSG00000129353,57153,Slc44a2,ENSMUSG00000057193,68682
SLC4A2,ENSG00000164889,6522,Slc4a2,ENSMUSG00000028962,20535
SLC5A3,ENSG00000198743,6526,Slc5a3,ENSMUSG00000089774,53881
SLC6A17,ENSG00000197106,388662,Slc6a17,ENSMUSG00000027894,229706
SLC8A2,ENSG00000118160,6543,Slc8a2,ENSMUSG00000030376,110891
SLC9A9,ENSG00000181804,285195,Slc9a9,ENSMUSG00000031129,331004
SMAD5,ENSG00000113658,4090,Smad5,ENSMUSG00000021540,17129
SMG5,ENSG00000198952,23381,Smg5,ENSMUSG00000001415,229512
SMG9,ENSG00000105771,56006,Smg9,ENSMUSG00000002210,71997
SMIM7,ENSG00000214046,79086,Smim7,ENSMUSG00000044600,66818
SNAP29,ENSG00000099940,9342,Snap29,ENSMUSG00000022765,67474
SNAP47,ENSG00000143740,116841,Snap47,ENSMUSG00000009894,67826
SNRNP48,ENSG00000168566,154007,Snrnp48,ENSMUSG00000021431,67797
SNX1,ENSG00000028528,6642,Snx1,ENSMUSG00000032382,56440
SNX22,ENSG00000157734,79856,Snx22,ENSMUSG00000039452,382083
SNX29,ENSG00000048471,92017,Snx29,ENSMUSG00000071669,74478
SNX3,ENSG00000112335,8724,Snx3,ENSMUSG00000019804,54198
SNX4,ENSG00000114520,8723,Snx4,ENSMUSG00000022808,69150
SNX5,ENSG00000089006,27131,Snx5,ENSMUSG00000027423,69178
SOAT1,ENSG00000057252,6646,Soat1,ENSMUSG00000026600,20652
SORBS1,ENSG00000095637,10580,Sorbs1,ENSMUSG00000025006,20411
SOX5,ENSG00000134532,6660,Sox5,ENSMUSG00000041540,20678
SOX8,ENSG00000005513,30812,Sox8,ENSMUSG00000024176,20681
SPPL2B,ENSG00000005206,56928,Sppl2b,ENSMUSG00000035206,73218
SPR,ENSG00000116096,6697,Spr,ENSMUSG00000033735,20751
SPTLC2,ENSG00000100596,9517,Sptlc2,ENSMUSG00000021036,20773
SREBF1,ENSG00000072310,6720,Srebf1,ENSMUSG00000020538,20787
SRRM4,ENSG00000139767,84530,Srrm4,ENSMUSG00000063919,68955
ST18,ENSG00000147488,9705,St18,ENSMUSG00000033740,240690
ST3GAL3,ENSG00000126091,6487,St3gal3,ENSMUSG00000028538,20441
ST6GAL1,ENSG00000073849,6480,St6gal1,ENSMUSG00000022885,20440
ST6GALNAC5,ENSG00000117069,81849,St6galnac5,ENSMUSG00000039037,26938
ST8SIA3,ENSG00000177511,51046,St8sia3,ENSMUSG00000056812,20451
STARD8,ENSG00000130052,9754,Stard8,ENSMUSG00000031216,236920
STAU2,ENSG00000040341,27067,Stau2,ENSMUSG00000025920,29819
STIP1,ENSG00000168439,10963,Stip1,ENSMUSG00000024966,20867
STMN2,ENSG00000104435,11075,Stmn2,ENSMUSG00000027500,20257
STOM,ENSG00000148175,2040,Stom,ENSMUSG00000026880,13830
STON2,ENSG00000140022,85439,Ston2,ENSMUSG00000020961,108800
STX4A,ENSG00000103496,6810,Stx4a,ENSMUSG00000030805,20909
STX6,ENSG00000135823,10228,Stx6,ENSMUSG00000026470,58244
STXBP5L,ENSG00000145087,9515,Stxbp5l,ENSMUSG00000022829,207227
SUB1,ENSG00000113387,10923,Sub1,ENSMUSG00000022205,20024
SULT4A1,ENSG00000130540,25830,Sult4a1,ENSMUSG00000018865,29859
SUMF2,ENSG00000129103,25870,Sumf2,ENSMUSG00000025538,67902
SUN2,ENSG00000100242,25777,Sun2,ENSMUSG00000042524,223697
SV2A,ENSG00000159164,9900,Sv2a,ENSMUSG00000038486,64051
SVOP,ENSG00000166111,55530,Svop,ENSMUSG00000042078,68666
SYNGR3,ENSG00000127561,9143,Syngr3,ENSMUSG00000007021,20974
SYP,ENSG00000102003,6855,Syp,ENSMUSG00000031144,20977
SYT16,ENSG00000139973,83851,Syt16,ENSMUSG00000044912,238266
TAGLN2,ENSG00000158710,8407,Tagln2,ENSMUSG00000026547,21346
TATDN3,ENSG00000203705,128387,Tatdn3,ENSMUSG00000026632,68972
TBC1D30,ENSG00000111490,23329,Tbc1d30,ENSMUSG00000052302,74694
TBC1D9,ENSG00000109436,23158,Tbc1d9,ENSMUSG00000031709,71310
TBL3,ENSG00000183751,10607,Tbl3,ENSMUSG00000040688,213773
TCF12,ENSG00000140262,6938,Tcf12,ENSMUSG00000032228,21406
TFEB,ENSG00000112561,7942,Tfeb,ENSMUSG00000023990,21425
TGFA,ENSG00000163235,7039,Tgfa,ENSMUSG00000029999,21802
TGM2,ENSG00000198959,7052,Tgm2,ENSMUSG00000037820,21817
THAP1,ENSG00000131931,55145,Thap1,ENSMUSG00000037214,73754
TJP2,ENSG00000119139,9414,Tjp2,ENSMUSG00000024812,21873
TLN1,ENSG00000137076,7094,Tln1,ENSMUSG00000028465,21894
TMBIM1,ENSG00000135926,64114,Tmbim1,ENSMUSG00000006301,69660
TMBIM6,ENSG00000139644,7009,Tmbim6,ENSMUSG00000023010,110213
TMCC1,ENSG00000172765,23023,Tmcc1,ENSMUSG00000030126,330401
TMCC3,ENSG00000057704,57458,Tmcc3,ENSMUSG00000020023,319880
TMED10,ENSG00000170348,10972,Tmed10,ENSMUSG00000021248,68581
TMEM125,ENSG00000179178,128218,Tmem125,ENSMUSG00000050854,230678
TMEM128,ENSG00000132406,85013,Tmem128,ENSMUSG00000067365,66309
TMEM144,ENSG00000164124,55314,Tmem144,ENSMUSG00000027956,70652
TMEM165,ENSG00000134851,55858,Tmem165,ENSMUSG00000029234,21982
TMEM168,ENSG00000146802,64418,Tmem168,ENSMUSG00000029569,101118
TMEM176A,ENSG00000002933,55365,Tmem176a,ENSMUSG00000023367,66058
TMEM176B,ENSG00000106565,28959,Tmem176b,ENSMUSG00000029810,65963
TMEM209,ENSG00000146842,84928,Tmem209,ENSMUSG00000029782,72649
TMEM231,ENSG00000205084,79583,Tmem231,ENSMUSG00000031951,234740
TMEM246,ENSG00000165152,84302,Tmem246,ENSMUSG00000039611,67063
TMEM59L,ENSG00000105696,25789,Tmem59l,ENSMUSG00000035964,67937
TMEM63A,ENSG00000196187,9725,Tmem63a,ENSMUSG00000026519,208795
TMTC2,ENSG00000179104,160335,Tmtc2,ENSMUSG00000036019,278279
TNFAIP8,ENSG00000145779,25816,Tnfaip8,ENSMUSG00000062210,106869
TOLLIP,ENSG00000078902,54472,Tollip,ENSMUSG00000025139,54473
TPPP3,ENSG00000159713,51673,Tppp3,ENSMUSG00000014846,67971
TPRN,ENSG00000176058,286262,Tprn,ENSMUSG00000048707,97031
TRAPPC2L,ENSG00000167515,51693,Trappc2l,ENSMUSG00000015013,59005
TRAPPC4,ENSG00000196655,51399,Trappc4,ENSMUSG00000032112,60409
TRAPPC6A,ENSG00000007255,79090,Trappc6a,ENSMUSG00000002043,67091
TRIM59,ENSG00000213186,286827,Trim59,ENSMUSG00000034317,66949
TRMT10B,ENSG00000165275,158234,Trmt10b,ENSMUSG00000035601,69934
TP53BP2,ENSG00000143514,7159,Trp53bp2,ENSMUSG00000026510,209456
TRPC1,ENSG00000144935,7220,Trpc1,ENSMUSG00000032839,22063
TRRAP,ENSG00000196367,8295,Trrap,ENSMUSG00000045482,100683
TSHZ1,ENSG00000179981,10194,Tshz1,ENSMUSG00000046982,110796
