Geneid	Unipro	Symbol	Age	Geneid_g36
ENSG00000101438	Q9H598	SLC32A1	910.0	ENSG00000101438
ENSG00000101439	P01034	CST3	324.5	ENSG00000101439
ENSG00000101440	P42127	ASIP	324.5	ENSG00000101440
ENSG00000101441	P01036	CST4	0.0	ENSG00000101441
ENSG00000101442	Q9H9F9	ACTR5	1628.0	ENSG00000101442
ENSG00000101443	Q14508	WFDC2	91.0	ENSG00000101443
ENSG00000101444	P23526	AHCY	1628.0	ENSG00000101444
ENSG00000101445	Q96T49	PPP1R16B	324.5	ENSG00000101445
ENSG00000101446	P49223	SPINT3	0.0	ENSG00000101446
ENSG00000101447	Q9H4H8	FAM83D	324.5	ENSG00000101447
ENSG00000101448	O95925	SPINLW1	91.0	ENSG00000101448
ENSG00000101452	Q9H5Z1	DHX35	4200.0	ENSG00000101452
ENSG00000101457	Q9H147	DNTTIP1	454.6	ENSG00000101457
ENSG00000101460	Q9H492	MAP1LC3A	454.6	ENSG00000101460
ENSG00000101463	Q9H7V2	SYNDIG1	454.6	ENSG00000101463
ENSG00000101464	Q9H490	PIGU	1628.0	ENSG00000101464
ENSG00000101470	P02585	TNNC2	454.6	ENSG00000101470
ENSG00000101473	O14734	ACOT8	4200.0	ENSG00000101473
ENSG00000101474	Q9HDC9	C20orf3	910.0	ENSG00000101474
ENSG00000101489	Q9BZC1	CELF4	1628.0	ENSG00000101489
ENSG00000101493	Q92618	ZNF516	324.5	ENSG00000101493
ENSG00000101542	Q9HBT6	CDH20	454.6	ENSG00000101542
ENSG00000101544	Q6IQ32	ADNP2	454.6	ENSG00000101544
ENSG00000101546	Q8N0V3	RBFA	324.5	ENSG00000101546
ENSG00000101557	P54578	USP14	1628.0	ENSG00000101557
ENSG00000101558	Q9P0L0	VAPA	1628.0	ENSG00000101558
ENSG00000101574	Q8N3J2	METTL4	324.5	ENSG00000101574
ENSG00000101577	Q92539	LPIN2	1628.0	ENSG00000101577
ENSG00000101596	A6NHR9	SMCHD1	454.6	ENSG00000101596
ENSG00000101605	P52179	MYOM1	454.6	ENSG00000101605
ENSG00000101608	P19105	MYL12A	0.0	ENSG00000101608
ENSG00000101624	Q8TAP6	CEP76	454.6	ENSG00000101624
ENSG00000101638	O15466	ST8SIA5	454.6	ENSG00000101638
ENSG00000101639	Q8TEP8	CEP192	1628.0	ENSG00000101639
ENSG00000101654	O43148	RNMT	1628.0	ENSG00000101654
ENSG00000101665	O15105	SMAD7	0.0	ENSG00000101665
ENSG00000101670	Q9Y5X9	LIPG	454.6	ENSG00000101670
ENSG00000101680	P25391	LAMA1	910.0	ENSG00000101680
ENSG00000101695	Q96EQ8	RNF125	91.0	ENSG00000101695
ENSG00000101745	Q6UB98	ANKRD12	454.6	ENSG00000101745
ENSG00000101746	O94818	NOL4	324.5	ENSG00000101746
ENSG00000101751	Q9UNA4	POLI	91.0	ENSG00000101751
ENSG00000101752	Q86YT6	MIB1	454.6	ENSG00000101752
ENSG00000101773	Q99708	RBBP8	454.6	ENSG00000101773
ENSG00000101782	O14730	RIOK3	910.0	ENSG00000101782
ENSG00000101811	P33240	CSTF2	910.0	ENSG00000101811
ENSG00000101812	P0C1H6	H2BFM	0.0	ENSG00000101812
ENSG00000101825	Q9NR99	MXRA5	324.5	ENSG00000101825
ENSG00000101842	Q86XK7	VSIG1	324.5	ENSG00000101842
ENSG00000101843	O75832	PSMD10	1628.0	ENSG00000101843
ENSG00000101844	Q8WYN0	ATG4A	1628.0	ENSG00000101844
ENSG00000101846	P08842	STS	454.6	ENSG00000101846
ENSG00000101849	O60907	TBL1X	1628.0	ENSG00000101849
ENSG00000101850	P51810	GPR143	454.6	ENSG00000101850
ENSG00000101856	O00264	PGRMC1	1368.0	ENSG00000101856
ENSG00000101868	P09884	POLA1	1628.0	ENSG00000101868
ENSG00000101871	O15344	MID1	454.6	ENSG00000101871
ENSG00000101882	Q8N5F7	NKAP	0.0	ENSG00000101882
ENSG00000101883	Q8NHV9	RHOXF1	0.0	ENSG00000101883
ENSG00000101888	Q9NPJ8	NXT2	454.6	ENSG00000101888
ENSG00000101890	P51841	GUCY2F	454.6	ENSG00000101890
ENSG00000101892	Q9UN42	ATP1B4	454.6	ENSG00000101892
ENSG00000101898	Q9ULC4		1628.0	ENSG00000101898
ENSG00000101901	Q9H5U8	ALG13	454.6	ENSG00000101901
ENSG00000101911	P11908	PRPS2	4200.0	ENSG00000101911
ENSG00000101916	Q9NR97	TLR8	454.6	ENSG00000101916
ENSG00000101928	Q9UJG1	MOSPD1	454.6	ENSG00000101928
ENSG00000101935	Q9Y4X0	AMMECR1	1628.0	ENSG00000101935
ENSG00000101938	Q9BU40	CHRDL1	324.5	ENSG00000101938
ENSG00000101940	Q9H1Z4	WDR13	454.6	ENSG00000101940
ENSG00000101945	O43463	SUV39H1	91.0	ENSG00000101945
ENSG00000101951	O60829	PAGE4	0.0	ENSG00000101951
ENSG00000101955	P78539	SRPX	454.6	ENSG00000101955
ENSG00000101958	P23416	GLRA2	910.0	ENSG00000101958
ENSG00000101966	P98170	XIAP	454.6	ENSG00000101966
ENSG00000101972	Q8N3U4	STAG2	910.0	ENSG00000101972
ENSG00000101974	Q8NB49	ATP11C	1628.0	ENSG00000101974
ENSG00000101977	P10911	MCF2	454.6	ENSG00000101977
ENSG00000101981	P00740	F9	454.6	ENSG00000101981
ENSG00000101986	P33897	ABCD1	910.0	ENSG00000101986
ENSG00000101997	O60826	CCDC22	1628.0	ENSG00000101997
ENSG00000102001	O60840	CACNA1F	910.0	ENSG00000102001
ENSG00000102003	P08247	SYP	91.0	ENSG00000102003
ENSG00000102007	Q04941	PLP2	91.0	ENSG00000102007
ENSG00000102010	P51813	BMX	454.6	ENSG00000102010
ENSG00000102021	Q9P127	LUZP4	0.0	ENSG00000102021
ENSG00000102024	P13797	PLS3	1628.0	ENSG00000102024
ENSG00000102030	P41227	NAA10	1628.0	ENSG00000102030
ENSG00000102032	P51606	RENBP	91.0	ENSG00000102032
ENSG00000102034	Q99607	ELF4	91.0	ENSG00000102034
ENSG00000102038	P28370	SMARCA1	1628.0	ENSG00000102038
ENSG00000102043	Q96EF0	MTMR8	910.0	ENSG00000102043
ENSG00000102048	Q96DX5	ASB9	324.5	ENSG00000102048
ENSG00000102053	Q5HYM0	ZC3H12B	910.0	ENSG00000102053
ENSG00000102054	Q16576	RBBP7	1628.0	ENSG00000102054
ENSG00000102055	O14990	PPP1R2P9	91.0	ENSG00000102055
ENSG00000102057	Q9NSA2	KCND1	910.0	ENSG00000102057
ENSG00000102076	P04000	OPN1LW	454.6	ENSG00000102076
ENSG00000102078	O95258	SLC25A14	454.6	ENSG00000102078
ENSG00000102081	Q06787	FMR1	454.6	ENSG00000102081
ENSG00000102096	Q9P1W9	PIM2	91.0	ENSG00000102096
ENSG00000102098	Q9UQR0	SCML2	454.6	ENSG00000102098
ENSG00000102100	P78381	SLC35A2	910.0	ENSG00000102100
ENSG00000102103	O60828	PQBP1	91.0	ENSG00000102103
ENSG00000102104	O15537	RS1	454.6	ENSG00000102104
ENSG00000102109	Q9UHG2	PCSK1N	91.0	ENSG00000102109
ENSG00000102119	P50402	EMD	91.0	ENSG00000102119
ENSG00000102125	Q16635	TAZ	1628.0	ENSG00000102125
ENSG00000102128	P0C0E4	RAB40AL	0.0	ENSG00000102128
ENSG00000102144	P00558	PGK1	4200.0	ENSG00000102144
ENSG00000102145	P15976	GATA1	91.0	ENSG00000102145
ENSG00000102158	Q9H0U3	MAGT1	1368.0	ENSG00000102158
ENSG00000102172	P52788	SMS	454.6	ENSG00000102172
ENSG00000102174	P78562	PHEX	454.6	ENSG00000102174
ENSG00000102178	P11441	UBL4A	91.0	ENSG00000102178
ENSG00000102181	Q8TCZ2	CD99L2	454.6	ENSG00000102181
ENSG00000102189	Q15075	EEA1	454.6	ENSG00000102189
ENSG00000102195	Q13585	GPR50	0.0	ENSG00000102195
ENSG00000102218	O75695	RP2	454.6	ENSG00000102218
ENSG00000102221	Q92613	PHF16	910.0	ENSG00000102221
ENSG00000102225	Q00536	CDK16	454.6	ENSG00000102225
ENSG00000102226	P51784	USP11	1628.0	ENSG00000102226
ENSG00000102230	Q9Y5K3	PCYT1B	1628.0	ENSG00000102230
ENSG00000102239	P32247	BRS3	324.5	ENSG00000102239
ENSG00000102241	O43719	HTATSF1	1628.0	ENSG00000102241
ENSG00000102243	Q99990	VGLL1	324.5	ENSG00000102243
ENSG00000102245	P29965	CD40LG	324.5	ENSG00000102245
ENSG00000102265	P01033	TIMP1	91.0	ENSG00000102265
ENSG00000102271	Q9C0H6	KLHL4	454.6	ENSG00000102271
ENSG00000102287	P78334	GABRE	91.0	ENSG00000102287
ENSG00000102290	Q9BZA7	PCDH11X	454.6	ENSG00000102290
ENSG00000102302	P98174	FGD1	454.6	ENSG00000102302
ENSG00000102309	Q9Y237	PIN4	1628.0	ENSG00000102309
ENSG00000102312	Q9H237	PORCN	910.0	ENSG00000102312
ENSG00000102313	Q6UXX5	ITIH5L	0.0	ENSG00000102313
ENSG00000102316	Q9UNF1	MAGED2	91.0	ENSG00000102316
ENSG00000102317	P98179	RBM3	324.5	ENSG00000102317
ENSG00000102349	O95600	KLF8	454.6	ENSG00000102349
ENSG00000102359	O60687	SRPX2	454.6	ENSG00000102359
ENSG00000102362	Q96C24	SYTL4	91.0	ENSG00000102362
ENSG00000102383	Q96MV8	ZDHHC15	454.6	ENSG00000102383
ENSG00000102384	Q92674	CENPI	454.6	ENSG00000102384
ENSG00000102385	Q13474	DRP2	910.0	ENSG00000102385
ENSG00000102387	Q5H9L4	TAF7L	91.0	ENSG00000102387
ENSG00000102390	Q9BVG4	CXorf26	1368.0	ENSG00000102390
ENSG00000102393	P06280	GLA	1628.0	ENSG00000102393
ENSG00000102401	Q9UH62	ARMCX3	91.0	ENSG00000102401
ENSG00000102409	Q9NWD9	BEX4	91.0	ENSG00000102409
ENSG00000102445	Q9H714	KIAA0226L	454.6	ENSG00000102445
ENSG00000102452	Q8IZF0	NALCN	1368.0	ENSG00000102452
ENSG00000102466	Q92915	FGF14	454.6	ENSG00000102466
ENSG00000102468	P28223	HTR2A	454.6	ENSG00000102468
ENSG00000102471	Q9NV92	NDFIP2	0.0	ENSG00000102471
ENSG00000102524	Q9Y275	TNFSF13B	454.6	ENSG00000102524
ENSG00000102531	Q9Y2H6	FNDC3A	454.6	ENSG00000102531
ENSG00000102539	O43193	MLNR	0.0	ENSG00000102539
ENSG00000102543	Q9BWV3	CDADC1	454.6	ENSG00000102543
ENSG00000102547	Q9H9S4	CAB39L	1628.0	ENSG00000102547
ENSG00000102554	Q13887	KLF5	454.6	ENSG00000102554
ENSG00000102572	Q9Y6E0	STK24	1628.0	ENSG00000102572
ENSG00000102575	P13686	ACP5	91.0	ENSG00000102575
ENSG00000102580	Q13217	DNAJC3	1628.0	ENSG00000102580
ENSG00000102595	Q9NYU1	UGGT2	1628.0	ENSG00000102595
ENSG00000102606	Q14155	ARHGEF7	910.0	ENSG00000102606
ENSG00000102678	P31371	FGF9	324.5	ENSG00000102678
ENSG00000102683	Q13326	SGCG	454.6	ENSG00000102683
ENSG00000102699	Q9UKK3	PARP4	0.0	ENSG00000102699
ENSG00000102710	Q8NEM7	FAM48A	324.5	ENSG00000102710
ENSG00000102738	Q92665	MRPS31	454.6	ENSG00000102738
ENSG00000102743	Q9Y619	SLC25A15	910.0	ENSG00000102743
ENSG00000102753	O00505	KPNA3	910.0	ENSG00000102753
ENSG00000102755	P17948	FLT1	454.6	ENSG00000102755
ENSG00000102760	Q9H4X1	C13orf15	454.6	ENSG00000102760
ENSG00000102763	A3KMH1	KIAA0564	324.5	ENSG00000102763
ENSG00000102780	Q86XP1	DGKH	454.6	ENSG00000102780
ENSG00000102781	Q9BW62	KATNAL1	910.0	ENSG00000102781
ENSG00000102786	Q9UL03	INTS6	910.0	ENSG00000102786
ENSG00000102794	A6NK06	IRG1	454.6	ENSG00000102794
ENSG00000102796	A0PJE2	DHRS12	454.6	ENSG00000102796
ENSG00000102802	Q5VYS4	C13orf33	91.0	ENSG00000102802
ENSG00000102804	Q15714	TSC22D1	454.6	ENSG00000102804
ENSG00000102805	O75503	CLN5	454.6	ENSG00000102805
ENSG00000102837	Q6UX06	OLFM4	454.6	ENSG00000102837
ENSG00000102854	Q13421	MSLN	324.5	ENSG00000102854
ENSG00000102858	O60291	MGRN1	454.6	ENSG00000102858
ENSG00000102870	Q9UEG4	ZNF629	324.5	ENSG00000102870
ENSG00000102871	Q15628	TRADD	454.6	ENSG00000102871
ENSG00000102878	Q9ULV5	HSF4	324.5	ENSG00000102878
ENSG00000102879	P31146	CORO1A	1368.0	ENSG00000102879
ENSG00000102882	P27361	MAPK3	1628.0	ENSG00000102882
ENSG00000102886	Q7L5L3	GDPD3	0.0	ENSG00000102886
ENSG00000102890	Q96BJ8	ELMO3	1628.0	ENSG00000102890
ENSG00000102891	P47944	MT4	0.0	ENSG00000102891
ENSG00000102893	Q93100	PHKB	324.5	ENSG00000102893
ENSG00000102897	O43325	LYRM1	454.6	ENSG00000102897
ENSG00000102898	P61970	NUTF2	1628.0	ENSG00000102898
ENSG00000102900	Q8N1F7	NUP93	1628.0	ENSG00000102900
ENSG00000102901	Q96BT3	CENPT	91.0	ENSG00000102901
ENSG00000102904	Q2TAA8	TSNAXIP1	454.6	ENSG00000102904
ENSG00000102908	O94916	NFAT5	454.6	ENSG00000102908
ENSG00000102910	Q86WA8	LONP2	4200.0	ENSG00000102910
ENSG00000102921	O75113	N4BP1	454.6	ENSG00000102921
ENSG00000102924	P23435	CBLN1	91.0	ENSG00000102924
ENSG00000102931	Q9Y2Y0	ARL2BP	0.0	ENSG00000102931
ENSG00000102934	Q9Y342	PLLP	454.6	ENSG00000102934
ENSG00000102935	Q2M1K9	ZNF423	454.6	ENSG00000102935
ENSG00000102962	O00626	CCL22	91.0	ENSG00000102962
ENSG00000102967	Q02127	DHODH	4200.0	ENSG00000102967
ENSG00000102970	Q92583	CCL17	324.5	ENSG00000102970
ENSG00000102974	P49711	CTCF	454.6	ENSG00000102974
ENSG00000102977	Q96AP0	ACD	91.0	ENSG00000102977
ENSG00000102978	P19387	POLR2C	1628.0	ENSG00000102978
ENSG00000102981	Q9NPB6	PARD6A	454.6	ENSG00000102981
ENSG00000102984	O75541	ZNF821	324.5	ENSG00000102984
ENSG00000102996	P51511	MMP15	910.0	ENSG00000102996
ENSG00000103005	Q9BQ65	C16orf57	454.6	ENSG00000103005
ENSG00000103018	O43169	CYB5B	1628.0	ENSG00000103018
ENSG00000103021	Q9H0I3	CCDC113	454.6	ENSG00000103021
ENSG00000103023	Q6PEW0	PRSS54	91.0	ENSG00000103023
ENSG00000103024	Q13232	NME3	4200.0	ENSG00000103024
ENSG00000103034	Q9ULP0	NDRG4	454.6	ENSG00000103034
ENSG00000103035	P51665	PSMD7	1628.0	ENSG00000103035
ENSG00000103037	Q8TBK2	SETD6	454.6	ENSG00000103037
ENSG00000103042	Q9NVC3	SLC38A7	454.6	ENSG00000103042
ENSG00000103043	Q08AM6	VAC14	1628.0	ENSG00000103043
ENSG00000103044	O00219	HAS3	454.6	ENSG00000103044
ENSG00000103047	Q9C0B7	TMCO7	454.6	ENSG00000103047
ENSG00000103051	Q9H9E3	COG4	1628.0	ENSG00000103051
ENSG00000103056	Q9NY59	SMPD3	454.6	ENSG00000103056
ENSG00000103061	Q96CW6	SLC7A6OS	454.6	ENSG00000103061
ENSG00000103064	Q92536	SLC7A6	910.0	ENSG00000103064
ENSG00000103066	Q8NCC3	PLA2G15	910.0	ENSG00000103066
ENSG00000103067	Q9H6T0	ESRP2	910.0	ENSG00000103067
ENSG00000103089	Q7L5A8	FA2H	1628.0	ENSG00000103089
ENSG00000103091	Q6PJI9	WDR59	324.5	ENSG00000103091
ENSG00000103111	Q7L1V2	MON1B	0.0	ENSG00000103111
ENSG00000103121	Q9NRP2	C16orf61	1368.0	ENSG00000103121
ENSG00000103126	O15169	AXIN1	454.6	ENSG00000103126
ENSG00000103145	Q9NWW0	HCFC1R1	91.0	ENSG00000103145
ENSG00000103148	Q12980	NPRL3	1368.0	ENSG00000103148
ENSG00000103150	O95822	MLYCD	1628.0	ENSG00000103150
ENSG00000103152	P29372	MPG	454.6	ENSG00000103152
ENSG00000103154	Q7Z6G3	NECAB2	0.0	ENSG00000103154
ENSG00000103160	Q3SXM5	HSDL1	454.6	ENSG00000103160
ENSG00000103168	Q15572	TAF1C	324.5	ENSG00000103168
ENSG00000103174	Q9UK23	NAGPA	324.5	ENSG00000103174
ENSG00000103175	Q9HC57	WFDC1	454.6	ENSG00000103175
ENSG00000103184	O43304	SEC14L5	910.0	ENSG00000103184
ENSG00000103187	Q14019	COTL1	454.6	ENSG00000103187
ENSG00000103194	Q14694	USP10	1628.0	ENSG00000103194
ENSG00000103196	Q9H0B8	CRISPLD2	324.5	ENSG00000103196
ENSG00000103197	P49815	TSC2	91.0	ENSG00000103197
ENSG00000103199	O60304	ZNF500	0.0	ENSG00000103199
ENSG00000103200	O00746		91.0	ENSG00000103200
ENSG00000103202	Q9NUI1	NME4	91.0	ENSG00000103202
ENSG00000103222	P33527	ABCC1	4200.0	ENSG00000103222
ENSG00000103226	P69849	NOMO3	1628.0	ENSG00000103226
ENSG00000103227	Q96S06	LMF1	454.6	ENSG00000103227
ENSG00000103241	Q12946	FOXF1	454.6	ENSG00000103241
ENSG00000103245	Q9H6Q4	NARFL	1368.0	ENSG00000103245
ENSG00000103248	Q2M296	MTHFSD	454.6	ENSG00000103248
ENSG00000103249	P51798	CLCN7	1628.0	ENSG00000103249
ENSG00000103253	Q6PII5	HAGHL	324.5	ENSG00000103253
ENSG00000103254	Q9BQD7	FAM173A	454.6	ENSG00000103254
ENSG00000103257	Q01650	SLC7A5	454.6	ENSG00000103257
ENSG00000103260	Q9UJH8	METRN	0.0	ENSG00000103260
ENSG00000103264	Q5XUX0	FBXO31	454.6	ENSG00000103264
ENSG00000103266	Q9UNE7	STUB1	910.0	ENSG00000103266
ENSG00000103269	O75783	RHBDL1	324.5	ENSG00000103269
ENSG00000103274	P53384	NUBP1	1628.0	ENSG00000103274
ENSG00000103275	P63279	UBE2I	1628.0	ENSG00000103275
ENSG00000103310	Q05996	ZP2	324.5	ENSG00000103310
ENSG00000103313	O15553	MEFV	91.0	ENSG00000103313
ENSG00000103316	Q14894	CRYM	1628.0	ENSG00000103316
ENSG00000103319	O00418	EEF2K	454.6	ENSG00000103319
ENSG00000103326	O75808	SOLH	910.0	ENSG00000103326
ENSG00000103335	Q92508	PIEZO1	1628.0	ENSG00000103335
ENSG00000103342	P15170	GSPT1	1628.0	ENSG00000103342
ENSG00000103343	Q15697	ZNF174	91.0	ENSG00000103343
ENSG00000103351	Q96AJ1	CLUAP1	910.0	ENSG00000103351
ENSG00000103353	O14562	UBFD1	454.6	ENSG00000103353
ENSG00000103355	Q8NF86	PRSS33	91.0	ENSG00000103355
ENSG00000103356	Q5JPH6	EARS2	4200.0	ENSG00000103356
ENSG00000103363	Q15370	TCEB2	454.6	ENSG00000103363
ENSG00000103365	Q9UJY4	GGA2	324.5	ENSG00000103365
ENSG00000103375	O94778	AQP8	4200.0	ENSG00000103375
ENSG00000103381	Q9BRF8	CPPED1	454.6	ENSG00000103381
ENSG00000103404	Q70CQ4	USP31	454.6	ENSG00000103404
ENSG00000103415	P30519	HMOX2	0.0	ENSG00000103415
ENSG00000103423	Q96EY1	DNAJA3	4200.0	ENSG00000103423
ENSG00000103426	P57737	CORO7	910.0	ENSG00000103426
ENSG00000103429	Q9NZS9	BFAR	324.5	ENSG00000103429
ENSG00000103449	Q9NSC2	SALL1	454.6	ENSG00000103449
ENSG00000103460	O15405	TOX3	324.5	ENSG00000103460
ENSG00000103479	Q08999	RBL2	910.0	ENSG00000103479
ENSG00000103485	Q15274	QPRT	91.0	ENSG00000103485
ENSG00000103489	Q86Y38	XYLT1	910.0	ENSG00000103489
ENSG00000103490	Q9ULZ3	PYCARD	91.0	ENSG00000103490
ENSG00000103494	Q68CZ1	RPGRIP1L	454.6	ENSG00000103494
ENSG00000103495	P56270	MAZ	91.0	ENSG00000103495
ENSG00000103496	Q12846	STX4	91.0	ENSG00000103496
ENSG00000103502	O14735	CDIPT	1628.0	ENSG00000103502
ENSG00000103507	O14874	BCKDK	91.0	ENSG00000103507
ENSG00000103510	Q9H7Z6	KAT8	1628.0	ENSG00000103510
ENSG00000103512	Q15155	NOMO1	1628.0	ENSG00000103512
ENSG00000103522	Q9HBE5	IL21R	454.6	ENSG00000103522
ENSG00000103528	Q9BSW7	SYT17	454.6	ENSG00000103528
ENSG00000103534	Q6UXY8	TMC5	454.6	ENSG00000103534
ENSG00000103540	O43303	CCP110	324.5	ENSG00000103540
ENSG00000103544	Q7Z3J2	C16orf62	1628.0	ENSG00000103544
ENSG00000103546	P23975	SLC6A2	910.0	ENSG00000103546
ENSG00000103549	O75150	RNF40	910.0	ENSG00000103549
ENSG00000103550	Q1ED39	C16orf88	91.0	ENSG00000103550
ENSG00000103569	O43315	AQP9	4200.0	ENSG00000103569
ENSG00000103591	Q6PD74	AAGAB	1628.0	ENSG00000103591
ENSG00000103599	Q86VS3	IQCH	454.6	ENSG00000103599
ENSG00000103642	P83111	LACTB	454.6	ENSG00000103642
ENSG00000103647	Q9UQ03	CORO2B	454.6	ENSG00000103647
ENSG00000103653	P41240	CSK	910.0	ENSG00000103653
ENSG00000103657	Q15751	HERC1	454.6	ENSG00000103657
ENSG00000103671	Q15650	TRIP4	910.0	ENSG00000103671
ENSG00000103707	Q96DP5	MTFMT	4200.0	ENSG00000103707
ENSG00000103710	Q9NYN1	RASL12	454.6	ENSG00000103710
ENSG00000103723	Q13367	AP3B2	1628.0	ENSG00000103723
ENSG00000103740	Q96GR2	ACSBG1	454.6	ENSG00000103740
ENSG00000103742	Q8TDY8	IGDCC4	454.6	ENSG00000103742
ENSG00000103769	P62491	RAB11A	1628.0	ENSG00000103769
ENSG00000103811	P09668	CTSH	454.6	ENSG00000103811
ENSG00000103852	Q5W5X9	TTC23	91.0	ENSG00000103852
ENSG00000103855	Q5ZPR3	CD276	454.6	ENSG00000103855
ENSG00000103876	P16930	FAH	1628.0	ENSG00000103876
ENSG00000103888	Q8WUJ3	KIAA1199	454.6	ENSG00000103888
ENSG00000103932	Q9BWH6	RPAP1	324.5	ENSG00000103932
ENSG00000103942	Q9NSB8	HOMER2	324.5	ENSG00000103942
ENSG00000103966	Q9H223	EHD4	1628.0	ENSG00000103966
ENSG00000103978	Q8NBN3	TMEM87A	1628.0	ENSG00000103978
ENSG00000103994	Q9H2Y7	ZFP106	454.6	ENSG00000103994
ENSG00000103995	O94986	CEP152	324.5	ENSG00000103995
ENSG00000104043	Q8TF62	ATP8B4	1628.0	ENSG00000104043
ENSG00000104044	Q04671	OCA2	1628.0	ENSG00000104044
ENSG00000104047	Q8N5C7	DTWD1	454.6	ENSG00000104047
ENSG00000104055	O43548	TGM5	324.5	ENSG00000104055
ENSG00000104059	O60320	FAM189A1	454.6	ENSG00000104059
ENSG00000104064	Q06547	GABPB1	454.6	ENSG00000104064
ENSG00000104067	Q07157	TJP1	910.0	ENSG00000104067
ENSG00000104081	Q96LC9	BMF	454.6	ENSG00000104081
ENSG00000104093	Q8TDJ6	DMXL2	910.0	ENSG00000104093
ENSG00000104112	Q8WXD2	SCG3	454.6	ENSG00000104112
ENSG00000104129	Q9NVM6	DNAJC17	1628.0	ENSG00000104129
ENSG00000104131	O75822	EIF3J	454.6	ENSG00000104131
ENSG00000104133	Q96JI7	SPG11	454.6	ENSG00000104133
ENSG00000104140	Q96L33	RHOV	324.5	ENSG00000104140
ENSG00000104142	Q9P253	VPS18	1628.0	ENSG00000104142
ENSG00000104147	O43482	OIP5	324.5	ENSG00000104147
ENSG00000104154	O14863	SLC30A4	91.0	ENSG00000104154
ENSG00000104164	Q9UL45	PLDN	454.6	ENSG00000104164
ENSG00000104177	Q9P2K5	MYEF2	910.0	ENSG00000104177
ENSG00000104205	Q96BR1	SGK3	454.6	ENSG00000104205
ENSG00000104213	Q15198	PDGFRL	454.6	ENSG00000104213
ENSG00000104218	Q1MSJ5	CSPP1	454.6	ENSG00000104218
ENSG00000104219	Q9UIJ5	ZDHHC2	1628.0	ENSG00000104219
ENSG00000104221	Q9HAW0	BRF2	454.6	ENSG00000104221
ENSG00000104228	Q9UPQ4	TRIM35	454.6	ENSG00000104228
ENSG00000104231	Q8TCF1	ZFAND1	454.6	ENSG00000104231
ENSG00000104237	P56715	RP1	91.0	ENSG00000104237
ENSG00000104267	P00918	CA2	910.0	ENSG00000104267
ENSG00000104290	Q9NPG1	FZD3	454.6	ENSG00000104290
ENSG00000104299	Q9NV88	INTS9	1628.0	ENSG00000104299
ENSG00000104312	O43353	RIPK2	454.6	ENSG00000104312
ENSG00000104313	Q99502	EYA1	910.0	ENSG00000104313
ENSG00000104320	O60934	NBN	454.6	ENSG00000104320
ENSG00000104321	O75762	TRPA1	910.0	ENSG00000104321
ENSG00000104324	Q9Y646		324.5	ENSG00000104324
ENSG00000104325	Q16698	DECR1	4200.0	ENSG00000104325
ENSG00000104327	P05937	CALB1	454.6	ENSG00000104327
ENSG00000104331	Q9NX62	IMPAD1	910.0	ENSG00000104331
ENSG00000104332	Q8N474	SFRP1	324.5	ENSG00000104332
ENSG00000104341	Q86VI4	LAPTM4B	454.6	ENSG00000104341
ENSG00000104343	Q96B02	UBE2W	1628.0	ENSG00000104343
ENSG00000104356	Q99575	POP1	1628.0	ENSG00000104356
ENSG00000104361	Q9H841	NIPAL2	91.0	ENSG00000104361
ENSG00000104365	O14920	IKBKB	454.6	ENSG00000104365
ENSG00000104368	P00750	PLAT	454.6	ENSG00000104368
ENSG00000104369	Q9HDC5	JPH1	454.6	ENSG00000104369
ENSG00000104371	Q9UBT3	DKK4	91.0	ENSG00000104371
ENSG00000104375	Q13188	STK3	1628.0	ENSG00000104375
ENSG00000104381	Q8TB36	GDAP1	454.6	ENSG00000104381
ENSG00000104388	P61019	RAB2A	1628.0	ENSG00000104388
ENSG00000104408	P60228	EIF3E	1628.0	ENSG00000104408
ENSG00000104412	Q15006	TTC35	1628.0	ENSG00000104412
ENSG00000104413	Q6NXG1	ESRP1	910.0	ENSG00000104413
ENSG00000104415	O95388	WISP1	454.6	ENSG00000104415
ENSG00000104419	Q92597	NDRG1	454.6	ENSG00000104419
ENSG00000104427	Q96GY0	FAM164A	454.6	ENSG00000104427
ENSG00000104432	P13232	IL7	324.5	ENSG00000104432
ENSG00000104435	Q93045	STMN2	454.6	ENSG00000104435
ENSG00000104442	Q9NVT9	ARMC1	454.6	ENSG00000104442
ENSG00000104447	Q9UHF7	TRPS1	454.6	ENSG00000104447
ENSG00000104450	Q07617	SPAG1	454.6	ENSG00000104450
ENSG00000104472	Q9NRG0	CHRAC1	91.0	ENSG00000104472
ENSG00000104490	P61601	NCALD	454.6	ENSG00000104490
ENSG00000104497	P57768	SNX16	454.6	ENSG00000104497
ENSG00000104499	Q99445	GML	91.0	ENSG00000104499
ENSG00000104517	O95071	UBR5	910.0	ENSG00000104517
ENSG00000104518	P57764	GSDMD	91.0	ENSG00000104518
ENSG00000104522	Q13630	TSTA3	4200.0	ENSG00000104522
ENSG00000104524	Q53H96	PYCRL	0.0	ENSG00000104524
ENSG00000104529	P29692	EEF1D	454.6	ENSG00000104529
ENSG00000104537	P27216	ANXA13	454.6	ENSG00000104537
ENSG00000104549	Q14534	SQLE	1628.0	ENSG00000104549
ENSG00000104611	Q9H788	SH2D4A	324.5	ENSG00000104611
ENSG00000104613	Q9NVR2	INTS10	454.6	ENSG00000104613
ENSG00000104626	Q8IV48	ERI1	454.6	ENSG00000104626
