genesymbol,ensg_id,Length
PSMC2,ENSG00000161057,3538
CELF5,ENSG00000161082,6024
MFSD12,ENSG00000161091,5277
AC008132.13,ENSG00000161103,7689
XXbac-B444P24.10,ENSG00000161132,1240
USP41,ENSG00000161133,1592
TUBA3FP,ENSG00000161149,2405
YDJC,ENSG00000161179,1754
CCDC116,ENSG00000161180,2949
DVL3,ENSG00000161202,6090
AP2M1,ENSG00000161203,4756
ABCF3,ENSG00000161204,5207
PCYT1A,ENSG00000161217,7978
FBXO27,ENSG00000161243,2833
DMKN,ENSG00000161249,7444
U2AF1L4,ENSG00000161265,2875
BDH1,ENSG00000161267,9114
NPHS1,ENSG00000161270,5459
THAP8,ENSG00000161277,1825
COX7A1,ENSG00000161281,1006
ZNF382,ENSG00000161298,11318
LRRC56,ENSG00000161328,2769
PLXDC1,ENSG00000161381,9277
PGAP3,ENSG00000161395,3669
IKZF3,ENSG00000161405,10008
GRIN2C,ENSG00000161509,8574
FDXR,ENSG00000161513,3599
SAP30BP,ENSG00000161526,8268
ACOX1,ENSG00000161533,8472
PRPSAP1,ENSG00000161542,6939
CYGB,ENSG00000161544,2949
SRSF2,ENSG00000161547,3017
ZNF577,ENSG00000161551,6234
TMEM143,ENSG00000161558,3701
KLHL10,ENSG00000161594,2370
CCDC155,ENSG00000161609,5624
HCRT,ENSG00000161610,577
ALDH16A1,ENSG00000161618,4643
DCD,ENSG00000161634,876
ITGA5,ENSG00000161638,7577
SIGLEC11,ENSG00000161640,3173
ZNF385A,ENSG00000161642,3179
SIGLEC16,ENSG00000161643,2510
MPP3,ENSG00000161647,4491
CD300LG,ENSG00000161649,4745
IZUMO2,ENSG00000161652,1511
NAGS,ENSG00000161653,2822
LSM12,ENSG00000161654,2811
ASB16,ENSG00000161664,2230
EMC10,ENSG00000161671,10748
JOSD2,ENSG00000161677,1514
SHANK1,ENSG00000161681,7567
FAM171A2,ENSG00000161682,3592
DBF4B,ENSG00000161692,7146
PLCD3,ENSG00000161714,6740
FMNL3,ENSG00000161791,13424
AQP5,ENSG00000161798,1885
RACGAP1,ENSG00000161800,4487
OR7G1,ENSG00000161807,936
LARP4,ENSG00000161813,8112
GRASP,ENSG00000161835,2829
RAVER1,ENSG00000161847,4981
KRT84,ENSG00000161849,2092
KRT82,ENSG00000161850,2664
SYCE2,ENSG00000161860,1458
SPC24,ENSG00000161888,2839
IP6K3,ENSG00000161896,2822
LEMD2,ENSG00000161904,6788
ALOX15,ENSG00000161905,3404
TREML1,ENSG00000161911,1483
ADCY10P1,ENSG00000161912,5741
ZNF653,ENSG00000161914,3301
MED11,ENSG00000161920,1477
CXCL16,ENSG00000161921,2794
SCIMP,ENSG00000161929,4208
RNASEK-C17orf49,ENSG00000161939,1947
BCL6B,ENSG00000161940,4373
ASGR2,ENSG00000161944,2490
TNFSF13,ENSG00000161955,2276
SENP3,ENSG00000161956,3668
FGF11,ENSG00000161958,5565
EIF4A1,ENSG00000161960,5316
RPL26,ENSG00000161970,2472
CCDC42,ENSG00000161973,1757
POLR3K,ENSG00000161980,1889
SNRNP25,ENSG00000161981,3060
PRR35,ENSG00000161992,2216
WDR90,ENSG00000161996,10534
JMJD8,ENSG00000161999,2627
CCDC78,ENSG00000162004,4147
MSLNL,ENSG00000162006,2356
SSTR5,ENSG00000162009,1362
SPSB3,ENSG00000162032,3192
MEIOB,ENSG00000162039,2008
HS3ST6,ENSG00000162040,1273
C16orf59,ENSG00000162062,2854
CCNF,ENSG00000162063,6309
TBC1D24,ENSG00000162065,9241
AMDHD2,ENSG00000162066,4366
NTN3,ENSG00000162068,1986
CCDC64B,ENSG00000162069,4690
PAQR4,ENSG00000162073,2972
FLYWCH2,ENSG00000162076,1365
ZG16B,ENSG00000162078,2665
ZNF75A,ENSG00000162086,8063
ADCY9,ENSG00000162104,10358
SHANK2,ENSG00000162105,18604
CLPB,ENSG00000162129,4264
NEU3,ENSG00000162139,7556
CYB561A3,ENSG00000162144,10597
PPP1R32,ENSG00000162148,2400
ASRGL1,ENSG00000162174,4586
GNG3,ENSG00000162188,882
UBXN1,ENSG00000162191,2532
LBHD1,ENSG00000162194,3362
TTC9C,ENSG00000162222,2657
TAF6L,ENSG00000162227,3149
NXF1,ENSG00000162231,6194
STX5,ENSG00000162236,2257
SLC25A45,ENSG00000162241,7855
RPL29,ENSG00000162244,1912
ITIH3,ENSG00000162267,5921
SYVN1,ENSG00000162298,5496
ZFPL1,ENSG00000162300,2784
RPS6KA4,ENSG00000162302,3807
LRP5,ENSG00000162337,6164
TPCN2,ENSG00000162341,6130
FGF19,ENSG00000162344,2447
CYP4A22,ENSG00000162365,3859
PDZK1IP1,ENSG00000162366,1438
TAL1,ENSG00000162367,5700
CMPK1,ENSG00000162368,3844
BEND5,ENSG00000162373,2138
ELAVL4,ENSG00000162374,6963
COA7,ENSG00000162377,4165
ZYG11B,ENSG00000162378,8198
SLC1A7,ENSG00000162383,5407
C1orf123,ENSG00000162384,4487
MAGOH,ENSG00000162385,1463
ACOT11,ENSG00000162390,9768
FAM151A,ENSG00000162391,2005
PARS2,ENSG00000162396,2347
C1orf177,ENSG00000162398,1777
BSND,ENSG00000162399,3472
USP24,ENSG00000162402,11708
PPAP2B,ENSG00000162407,5286
NOL9,ENSG00000162408,7293
PRKAA2,ENSG00000162409,9354
KLHL21,ENSG00000162413,6901
ZSWIM5,ENSG00000162415,6046
GMEB1,ENSG00000162419,6459
SLC45A1,ENSG00000162426,2888
SEPN1,ENSG00000162430,4424
AK4,ENSG00000162433,7578
JAK1,ENSG00000162434,6317
RAVER2,ENSG00000162437,6070
CTRC,ENSG00000162438,3486
LZIC,ENSG00000162441,2794
RBP7,ENSG00000162444,861
KNCN,ENSG00000162456,2810
FBLIM1,ENSG00000162458,4716
TMEM82,ENSG00000162460,1520
SLC25A34,ENSG00000162461,3195
AKR7A3,ENSG00000162482,1710
DRAXIN,ENSG00000162490,7346
PDPN,ENSG00000162493,3707
LRRC38,ENSG00000162494,2209
DHRS3,ENSG00000162496,3036
MATN1,ENSG00000162510,4606
LAPTM5,ENSG00000162511,3274
SDC3,ENSG00000162512,7067
PEF1,ENSG00000162517,2227
SYNC,ENSG00000162520,3487
RBBP4,ENSG00000162521,9470
KIAA1522,ENSG00000162522,5965
TSSK3,ENSG00000162526,2191
TMCO4,ENSG00000162542,4054
UBXN10,ENSG00000162543,5571
CAMK2N1,ENSG00000162545,2615
ALPL,ENSG00000162551,3007
WNT4,ENSG00000162552,4527
TTLL10,ENSG00000162571,3943
SCNN1D,ENSG00000162572,4025
MXRA8,ENSG00000162576,3622
C1orf86,ENSG00000162585,10916
MEGF6,ENSG00000162591,7039
CCDC27,ENSG00000162592,2318
IL23R,ENSG00000162594,3012
DIRAS3,ENSG00000162595,1973
C1orf87,ENSG00000162598,4422
NFIA,ENSG00000162599,10872
OMA1,ENSG00000162600,3718
MYSM1,ENSG00000162601,8938
TM2D1,ENSG00000162604,5516
USP1,ENSG00000162607,4263
FUBP1,ENSG00000162613,5666
NEXN,ENSG00000162614,4436
DNAJB4,ENSG00000162616,3783
ELTD1,ENSG00000162618,3527
LRRIQ3,ENSG00000162620,8759
LRRC53,ENSG00000162621,3859
TYW3,ENSG00000162623,4616
LHX8,ENSG00000162624,3977
SNX7,ENSG00000162627,2067
B3GALT2,ENSG00000162630,3274
NTNG1,ENSG00000162631,9138
FAM102B,ENSG00000162636,9355
HENMT1,ENSG00000162639,2426
AKNAD1,ENSG00000162641,4915
C1orf52,ENSG00000162642,3420
WDR63,ENSG00000162643,3923
GBP2,ENSG00000162645,6276
ATXN7L2,ENSG00000162650,5232
GBP4,ENSG00000162654,6127
ZNF326,ENSG00000162664,10984
HFM1,ENSG00000162669,5827
BRINP3,ENSG00000162670,3406
GFI1,ENSG00000162676,3301
LSP1P3,ENSG00000162685,208
KCNT2,ENSG00000162687,7100
AGL,ENSG00000162688,8434
VCAM1,ENSG00000162692,6049
EXTL2,ENSG00000162694,4834
SLC30A7,ENSG00000162695,8376
DNAJA1P5,ENSG00000162699,943
ZNF281,ENSG00000162702,4895
ARPC5,ENSG00000162704,10624
CADM3,ENSG00000162706,3847
NLRP3,ENSG00000162711,4757
ZNF496,ENSG00000162714,10531
TRIM58,ENSG00000162722,3225
SLAMF9,ENSG00000162723,1156
OR2M5,ENSG00000162727,939
KCNJ9,ENSG00000162728,4170
IGSF8,ENSG00000162729,2592
DDR2,ENSG00000162733,10730
PEA15,ENSG00000162734,2806
PEX19,ENSG00000162735,4461
NCSTN,ENSG00000162736,4175
VANGL2,ENSG00000162738,5340
SLAMF6,ENSG00000162739,2746
OLFML2B,ENSG00000162745,3415
FCRLB,ENSG00000162746,2592
FCGR3B,ENSG00000162747,3073
SLC9C2,ENSG00000162753,4916
KLHDC9,ENSG00000162755,1720
C1orf74,ENSG00000162757,4684
LMX1A,ENSG00000162761,4185
LRRC52,ENSG00000162763,1369
FLVCR1,ENSG00000162769,6442
FAM71A,ENSG00000162771,2305
ATF3,ENSG00000162772,4040
RBM15,ENSG00000162775,4670
DENND2D,ENSG00000162777,5515
AXDND1,ENSG00000162779,6089
TDRD5,ENSG00000162782,4256
IER5,ENSG00000162783,4188
SNED1,ENSG00000162804,13592
BPNT1,ENSG00000162813,3113
SPATA17,ENSG00000162814,6515
C1orf115,ENSG00000162817,3413
BROX,ENSG00000162819,4980
NBPF8,ENSG00000162825,18995
ACP6,ENSG00000162836,11960
MT2P1,ENSG00000162840,183
WDR64,ENSG00000162843,4939
KIF26B,ENSG00000162849,14403
TFB2M,ENSG00000162851,1848
CNST,ENSG00000162852,5922
PPP1R21,ENSG00000162869,3995
KLHDC8A,ENSG00000162873,3651
PM20D1,ENSG00000162877,2614
PKDCC,ENSG00000162878,3925
OXER1,ENSG00000162881,1781
HAAO,ENSG00000162882,2726
B3GALNT2,ENSG00000162885,5702
C1orf147,ENSG00000162888,2096
MAPKAPK2,ENSG00000162889,4195
IL20,ENSG00000162891,1567
IL24,ENSG00000162892,1979
FAIM3,ENSG00000162894,2348
PIGR,ENSG00000162896,4376
FCAMR,ENSG00000162897,3541
CAPN2,ENSG00000162909,8792
MRPL55,ENSG00000162910,1886
C1orf145,ENSG00000162913,3647
WDR26,ENSG00000162923,10481
REL,ENSG00000162924,11255
PUS10,ENSG00000162927,7651
PEX13,ENSG00000162928,5910
KIAA1841,ENSG00000162929,7992
TRIM17,ENSG00000162931,3548
RFTN2,ENSG00000162944,6007
DISC1,ENSG00000162946,12906
AC007364.1,ENSG00000162947,2153
CAPN13,ENSG00000162949,5191
LRRTM1,ENSG00000162951,5044
MEMO1,ENSG00000162959,5220
DPY30,ENSG00000162961,2745
TYW5,ENSG00000162971,10496
C2orf47,ENSG00000162972,1624
KCNF1,ENSG00000162975,2289
PQLC3,ENSG00000162976,2275
ARL5A,ENSG00000162980,6716
FAM84A,ENSG00000162981,8384
KCNJ3,ENSG00000162989,5067
NEUROD1,ENSG00000162992,3312
CLHC1,ENSG00000162994,4398
PRORSD1P,ENSG00000162997,2204
FRZB,ENSG00000162998,3162
DUSP19,ENSG00000162999,5376
CFAP36,ENSG00000163001,3505
NUP35,ENSG00000163002,4046
CCDC138,ENSG00000163006,5796
C2orf48,ENSG00000163009,1897
ZSWIM2,ENSG00000163012,2400
FBXO41,ENSG00000163013,8011
ALMS1P,ENSG00000163016,1654
ACTG2,ENSG00000163017,3811
C2orf44,ENSG00000163026,3847
SMC6,ENSG00000163029,9824
VSNL1,ENSG00000163032,3833
CCDC74A,ENSG00000163040,3077
H3F3A,ENSG00000163041,3146
ANKRD30BL,ENSG00000163046,4947
ADCK3,ENSG00000163050,7797
SLC16A14,ENSG00000163053,4946
TEKT4,ENSG00000163060,2218
EN1,ENSG00000163064,2886
SGCB,ENSG00000163069,4541
SPATA18,ENSG00000163071,4941
NOSTRIN,ENSG00000163072,5248
CFAP221,ENSG00000163075,9655
CCDC140,ENSG00000163081,1932
SGPP2,ENSG00000163082,3336
INHBB,ENSG00000163083,3204
XIRP2,ENSG00000163092,13031
BBS5,ENSG00000163093,4556
BIRC8,ENSG00000163098,2026
SMARCAD1,ENSG00000163104,6313
HPGDS,ENSG00000163106,2111
PDLIM5,ENSG00000163110,11090
PDHA2,ENSG00000163114,1456
STPG2,ENSG00000163116,5836
NEURL3,ENSG00000163121,2497
RPRD2,ENSG00000163125,8738
ANKRD23,ENSG00000163126,4116
CTSS,ENSG00000163131,4228
MSX1,ENSG00000163132,2120
PACRGL,ENSG00000163138,4032
BNIPL,ENSG00000163141,2892
C1QTNF7,ENSG00000163145,5583
TNFAIP8L2,ENSG00000163154,1178
LYSMD1,ENSG00000163155,2508
SCNM1,ENSG00000163156,3265
TMOD4,ENSG00000163157,1843
VPS72,ENSG00000163159,4545
ERCC3,ENSG00000163161,7401
RNF149,ENSG00000163162,4836
IWS1,ENSG00000163166,3990
BOLA3,ENSG00000163170,3156
CDC42EP3,ENSG00000163171,10406
S100A11,ENSG00000163191,680
LCE3D,ENSG00000163202,613
SMCP,ENSG00000163206,775
IVL,ENSG00000163207,2153
SPRR3,ENSG00000163209,1441
DHX57,ENSG00000163214,7985
SPRR2D,ENSG00000163216,1057
BMP10,ENSG00000163217,1584
PGLYRP4,ENSG00000163218,2272
ARHGAP25,ENSG00000163219,5452
S100A9,ENSG00000163220,577
S100A12,ENSG00000163221,518
TGFA,ENSG00000163235,4963
TDRD10,ENSG00000163239,2706
CCNYL1,ENSG00000163249,4707
FZD5,ENSG00000163251,6708
CRYGC,ENSG00000163254,629
DCAF16,ENSG00000163257,4816
C1orf189,ENSG00000163263,387
NPPC,ENSG00000163273,1071
GNPDA2,ENSG00000163281,7150
ALPP,ENSG00000163283,3059
GABRG1,ENSG00000163285,6785
ALPPL2,ENSG00000163286,2493
GABRB1,ENSG00000163288,3140
PAQR3,ENSG00000163291,12403
NIPAL1,ENSG00000163293,5983
ALPI,ENSG00000163295,2632
ANTXR2,ENSG00000163297,9864
HELQ,ENSG00000163312,3713
MRPS18C,ENSG00000163319,4866
CGGBP1,ENSG00000163320,6490
FAM175A,ENSG00000163322,7777
GPR155,ENSG00000163328,7769
DAPL1,ENSG00000163331,1505
PMVK,ENSG00000163344,1280
PBXIP1,ENSG00000163346,3851
CLDN1,ENSG00000163347,3663
PYGO2,ENSG00000163348,3630
HIPK1,ENSG00000163349,9280
LENEP,ENSG00000163352,730
DCST2,ENSG00000163354,3071
DCST1,ENSG00000163357,3193
COL6A3,ENSG00000163359,19633
C1orf106,ENSG00000163362,5413
LINC01116,ENSG00000163364,1783
YY1AP1,ENSG00000163374,5001
KBTBD8,ENSG00000163376,4736
FAM19A4,ENSG00000163377,2292
EOGT,ENSG00000163378,5645
LMOD3,ENSG00000163380,4276
APOA1BP,ENSG00000163382,1933
POGLUT1,ENSG00000163389,7097
SLC22A15,ENSG00000163393,5292
CCKAR,ENSG00000163394,1720
IGFN1,ENSG00000163395,12116
ATP1A1,ENSG00000163399,7261
SLC15A2,ENSG00000163406,6210
EIF4E3,ENSG00000163412,10779
PROK2,ENSG00000163421,1612
C3orf30,ENSG00000163424,1964
LRRC58,ENSG00000163428,7903
FSTL1,ENSG00000163430,8727
LMOD1,ENSG00000163431,3971
ELF3,ENSG00000163435,7191
PDCL2,ENSG00000163440,861
TMEM183A,ENSG00000163444,4026
TMEM169,ENSG00000163449,3628
IGFBP7,ENSG00000163453,1930
TRIM46,ENSG00000163462,4533
KRTCAP2,ENSG00000163463,3826
CXCR1,ENSG00000163464,2488
ARPC2,ENSG00000163466,6562
TSACC,ENSG00000163467,1115
CCT3,ENSG00000163468,4018
TMEM79,ENSG00000163472,3067
SSR2,ENSG00000163479,6651
RNF25,ENSG00000163481,2323
STK36,ENSG00000163482,6458
ADORA1,ENSG00000163485,4191
NEK10,ENSG00000163491,9582
CCDC141,ENSG00000163492,15446
FEV,ENSG00000163497,2049
CRYBA2,ENSG00000163499,1454
IHH,ENSG00000163501,2023
KIAA1524,ENSG00000163507,4579
EOMES,ENSG00000163508,3656
CWC22,ENSG00000163510,3324
AZI2,ENSG00000163512,6349
TGFBR2,ENSG00000163513,4704
RETNLB,ENSG00000163515,1106
ANKZF1,ENSG00000163516,6119
HDAC11,ENSG00000163517,5281
FCRL4,ENSG00000163518,3875
TRAT1,ENSG00000163519,2528
FBLN2,ENSG00000163520,4812
GLB1L,ENSG00000163521,3411
STT3B,ENSG00000163527,5012
CHCHD4,ENSG00000163528,1772
DPPA2,ENSG00000163530,1383
NFASC,ENSG00000163531,21271
FCRL1,ENSG00000163534,3935
SGOL2,ENSG00000163535,6022
SERPINI1,ENSG00000163536,2418
CLASP2,ENSG00000163539,15157
SUCLG1,ENSG00000163541,4286
NUAK2,ENSG00000163545,3405
SPTA1,ENSG00000163554,10025
PRKCI,ENSG00000163558,5841
MNDA,ENSG00000163563,2059
PYHIN1,ENSG00000163564,3479
IFI16,ENSG00000163565,5294
AIM2,ENSG00000163568,2009
EFHB,ENSG00000163576,4163
EIF5A2,ENSG00000163577,5593
SLC2A2,ENSG00000163581,3417
RPL22L1,ENSG00000163584,2326
FABP1,ENSG00000163586,2470
PPM1L,ENSG00000163590,12447
ICA1L,ENSG00000163596,10598
SNHG16,ENSG00000163597,5362
CTLA4,ENSG00000163599,2120
ICOS,ENSG00000163600,2645
RYBP,ENSG00000163602,7512
PPP4R2,ENSG00000163605,5964
CD200R1,ENSG00000163606,3905
GTPBP8,ENSG00000163607,3828
C3orf17,ENSG00000163608,6494
SPICE1,ENSG00000163611,7941
FAM86KP,ENSG00000163612,987
KIAA1407,ENSG00000163617,5303
CADPS,ENSG00000163618,14638
NKX6-1,ENSG00000163623,3086
CDS1,ENSG00000163624,4461
WDFY3,ENSG00000163625,16856
COX18,ENSG00000163626,6976
PTPN13,ENSG00000163629,9496
SYNPR,ENSG00000163630,4224
ALB,ENSG00000163631,3377
C3orf49,ENSG00000163632,1581
C4orf36,ENSG00000163633,5270
THOC7,ENSG00000163634,1784
ATXN7,ENSG00000163635,9172
PSMD6,ENSG00000163636,9123
PRICKLE2,ENSG00000163637,8726
ADAMTS9,ENSG00000163638,10680
PPM1K,ENSG00000163644,11371
ERICH6,ENSG00000163645,2075
CLRN1,ENSG00000163646,3472
GMPS,ENSG00000163655,8885
TIPARP,ENSG00000163659,5048
CCNL1,ENSG00000163660,8729
PTX3,ENSG00000163661,1940
HESX1,ENSG00000163666,1248
DCLK3,ENSG00000163673,5406
SLMAP,ENSG00000163681,14147
RPL9,ENSG00000163682,3259
SMIM14,ENSG00000163683,6721
RPP14,ENSG00000163684,8374
ABHD6,ENSG00000163686,3589
DNASE1L3,ENSG00000163687,3148
C3orf67,ENSG00000163689,9455
RBM47,ENSG00000163694,8544
APBB2,ENSG00000163697,12956
IL17RE,ENSG00000163701,4676
IL17RC,ENSG00000163702,4540
CRELD1,ENSG00000163703,3778
PRRT3,ENSG00000163704,3939
FANCD2OS,ENSG00000163705,1895
PCOLCE2,ENSG00000163710,3480
U2SURP,ENSG00000163714,11118
MTMR14,ENSG00000163719,6020
TTC14,ENSG00000163728,7783
CXCL3,ENSG00000163734,2219
CXCL5,ENSG00000163735,2538
PPBP,ENSG00000163736,715
PF4,ENSG00000163737,604
MTHFD2L,ENSG00000163738,9819
CXCL1,ENSG00000163739,1296
RCHY1,ENSG00000163743,6565
PLSCR2,ENSG00000163746,2557
CCDC158,ENSG00000163749,5860
CPA3,ENSG00000163751,1848
GYG1,ENSG00000163754,3511
HPS3,ENSG00000163755,6256
TM4SF18,ENSG00000163762,4482
TOPBP1,ENSG00000163781,6515
RYK,ENSG00000163785,8047
SNRK,ENSG00000163788,6981
TCF23,ENSG00000163792,5123
DNAJC5G,ENSG00000163793,2350
UCN,ENSG00000163794,795
ZNF513,ENSG00000163795,2365
SLC4A1AP,ENSG00000163798,5207
PLB1,ENSG00000163803,8238
SPDYA,ENSG00000163806,3483
KIAA1143,ENSG00000163807,5259
KIF15,ENSG00000163808,5285
TGM4,ENSG00000163810,5443
WDR43,ENSG00000163811,4130
ZDHHC3,ENSG00000163812,7609
CDCP1,ENSG00000163814,6507
CLEC3B,ENSG00000163815,1105
SLC6A20,ENSG00000163817,6651
LZTFL1,ENSG00000163818,7201
FYCO1,ENSG00000163820,8895
CCR1,ENSG00000163823,2731
RTP3,ENSG00000163825,1321
LRRC2,ENSG00000163827,5622
ELP6,ENSG00000163832,3313
FBXO40,ENSG00000163833,5929
DTX3L,ENSG00000163840,5868
ZNF148,ENSG00000163848,10574
NMNAT3,ENSG00000163864,3451
SMIM12,ENSG00000163866,8091
ZMYM6,ENSG00000163867,9591
TPRA1,ENSG00000163870,3596
YEATS2,ENSG00000163872,10212
GRIK3,ENSG00000163873,10111
ZC3H12A,ENSG00000163874,3117
MEAF6,ENSG00000163875,3487
SNIP1,ENSG00000163877,4888
DNALI1,ENSG00000163879,4456
POLR2H,ENSG00000163882,3146
KLF15,ENSG00000163884,2848
CCDC37,ENSG00000163885,3352
CAMK2N2,ENSG00000163888,1362
LIPH,ENSG00000163898,4122
TMEM41A,ENSG00000163900,8668
RPN1,ENSG00000163902,3992
SENP2,ENSG00000163904,7169
HEYL,ENSG00000163909,3661
IFT122,ENSG00000163913,9636
RHO,ENSG00000163914,2592
IGF2BP2-AS1,ENSG00000163915,3415
RFC4,ENSG00000163918,2997
RPL39L,ENSG00000163923,1060
BAP1,ENSG00000163930,5055
TKT,ENSG00000163931,9507
PRKCD,ENSG00000163932,3396
RFT1,ENSG00000163933,5488
SFMBT1,ENSG00000163935,5676
GNL3,ENSG00000163938,3318
PBRM1,ENSG00000163939,9654
UVSSA,ENSG00000163945,7830
FAM208A,ENSG00000163946,9824
ARHGEF3,ENSG00000163947,6594
SLBP,ENSG00000163950,2026
LRPAP1,ENSG00000163956,8724
ZDHHC19,ENSG00000163958,2432
SLC51A,ENSG00000163959,5293
UBXN7,ENSG00000163960,11291
RNF168,ENSG00000163961,5347
PIGX,ENSG00000163964,4446
MFI2,ENSG00000163975,8393
OTOP1,ENSG00000163982,1864
S100P,ENSG00000163993,1280
ABLIM2,ENSG00000163995,6049
EXO5,ENSG00000164002,3092
CLDN19,ENSG00000164007,3602
C1orf50,ENSG00000164008,2105
ERMAP,ENSG00000164010,4631
ZNF691,ENSG00000164011,2036
AIMP1,ENSG00000164022,3328
SGMS2,ENSG00000164023,7635
METAP1,ENSG00000164024,4117
DNAJB14,ENSG00000164031,13078
H2AFZ,ENSG00000164032,2303
EMCN,ENSG00000164035,5243
SLC9B1,ENSG00000164037,2977
SLC9B2,ENSG00000164038,5374
BDH2,ENSG00000164039,3383
PGRMC2,ENSG00000164040,4626
CDC25A,ENSG00000164045,4117
CAMP,ENSG00000164047,745
ZNF589,ENSG00000164048,5521
FBXW12,ENSG00000164049,3488
PLXNB1,ENSG00000164050,9733
CCDC51,ENSG00000164051,2410
ATRIP,ENSG00000164053,3334
SHISA5,ENSG00000164054,4664
SPRY1,ENSG00000164056,3963
BSN,ENSG00000164061,16225
APEH,ENSG00000164062,4669
INTU,ENSG00000164066,16066
RNF123,ENSG00000164068,7458
HSPA4L,ENSG00000164070,11621
MFSD8,ENSG00000164073,5023
C4orf29,ENSG00000164074,6491
CAMKV,ENSG00000164076,3900
MON1A,ENSG00000164077,4532
MST1R,ENSG00000164078,5252
RAD54L2,ENSG00000164080,11924
TEX264,ENSG00000164081,5688
GRM2,ENSG00000164082,7096
DUSP7,ENSG00000164086,5648
POC1A,ENSG00000164087,2247
PPM1M,ENSG00000164088,3571
ETNPPL,ENSG00000164089,2950
WDR82,ENSG00000164091,5726
PITX2,ENSG00000164093,5629
C4orf3,ENSG00000164096,3148
PRSS12,ENSG00000164099,5725
NDST3,ENSG00000164100,7009
HMGB2,ENSG00000164104,2775
SAP30,ENSG00000164105,1320
SCRG1,ENSG00000164106,5396
HAND2,ENSG00000164107,3601
MAD2L1,ENSG00000164109,5748
ANXA5,ENSG00000164111,3034
TMEM155,ENSG00000164112,3024
ADAD1,ENSG00000164113,2699
MAP9,ENSG00000164114,8857
GUCY1A3,ENSG00000164116,5766
FBXO8,ENSG00000164117,2810
CEP44,ENSG00000164118,7132
HPGD,ENSG00000164120,5529
ASB5,ENSG00000164122,4064
C4orf45,ENSG00000164123,1438
TMEM144,ENSG00000164124,9243
FAM198B,ENSG00000164125,7880
NPY1R,ENSG00000164128,4180
NPY5R,ENSG00000164129,3291
NAA15,ENSG00000164134,9712
IL15,ENSG00000164136,7860
FAM160A1,ENSG00000164142,4932
ARFIP1,ENSG00000164144,4290
ICE1,ENSG00000164151,8678
HHIP,ENSG00000164161,12074
ANAPC10,ENSG00000164162,3418
ABCE1,ENSG00000164163,6265
OTUD4,ENSG00000164164,9085
LSM6,ENSG00000164167,2605
TMEM184C,ENSG00000164168,4712
PRMT9,ENSG00000164169,4019
ITGA2,ENSG00000164171,7910
MOCS2,ENSG00000164172,6010
SLC45A2,ENSG00000164175,3267
EDIL3,ENSG00000164176,5738
TMEM161B,ENSG00000164180,9598
ELOVL7,ENSG00000164181,4576
NDUFAF2,ENSG00000164182,1017
ZNF474,ENSG00000164185,2364
LMBRD2,ENSG00000164187,8421
RANBP3L,ENSG00000164188,3363
NIPBL,ENSG00000164190,12529
RNF180,ENSG00000164197,5434
GPR98,ENSG00000164199,23499
SLC25A46,ENSG00000164209,8283
STARD4,ENSG00000164211,5684
PGGT1B,ENSG00000164219,10064
F2RL2,ENSG00000164220,3429
CCDC112,ENSG00000164221,3289
ANKRD33B,ENSG00000164236,9783
CMBL,ENSG00000164237,3324
C5orf63,ENSG00000164241,7190
PRRC1,ENSG00000164244,9064
F2RL1,ENSG00000164251,2958
AGGF1,ENSG00000164252,5051
WDR41,ENSG00000164253,7230
PRDM9,ENSG00000164256,3864
NDUFS4,ENSG00000164258,1176
SCGB3A2,ENSG00000164265,1075
SPINK1,ENSG00000164266,1480
HTR4,ENSG00000164270,7045
ESM1,ENSG00000164283,2695
GRPEL2,ENSG00000164284,4419
CDC20B,ENSG00000164287,4496
ARSK,ENSG00000164291,4314
RHOBTB3,ENSG00000164292,8833
GPX8,ENSG00000164294,3868
TIGD6,ENSG00000164296,4640
SPZ1,ENSG00000164299,1945
SERINC5,ENSG00000164300,9583
ENPP6,ENSG00000164303,4703
CAGE1,ENSG00000164304,3512
CASP3,ENSG00000164305,2899
PRIMPOL,ENSG00000164306,2843
ERAP1,ENSG00000164307,7945
ERAP2,ENSG00000164308,7422
CMYA5,ENSG00000164309,14179
EGFLAM,ENSG00000164318,5724
CFAP97,ENSG00000164323,6886
TMEM174,ENSG00000164325,1759
CARTPT,ENSG00000164326,1216
RICTOR,ENSG00000164327,13550
PAPD4,ENSG00000164329,5508
EBF1,ENSG00000164330,6178
ANKRA2,ENSG00000164331,2659
UBLCP1,ENSG00000164332,2676
FAM170A,ENSG00000164334,1378
UTP15,ENSG00000164338,6321
TLR3,ENSG00000164342,6724
KLKB1,ENSG00000164344,2953
NSA2,ENSG00000164346,4962
GFM2,ENSG00000164347,4197
TERT,ENSG00000164362,4616
SLC6A18,ENSG00000164363,2121
CCDC127,ENSG00000164366,9701
FOXQ1,ENSG00000164379,1715
C6orf195,ENSG00000164385,2895
GPR111,ENSG00000164393,6395
ACSL6,ENSG00000164398,14653
IL3,ENSG00000164399,1050
CSF2,ENSG00000164400,787
8-Sep,ENSG00000164402,7711
SHROOM1,ENSG00000164403,4420
GDF9,ENSG00000164404,3279
UQCRQ,ENSG00000164405,1472
LEAP2,ENSG00000164406,2405
GJB7,ENSG00000164411,2763
SLC35A1,ENSG00000164414,1994
GRIK2,ENSG00000164418,7375
MB21D1,ENSG00000164430,4155
FABP7,ENSG00000164434,2728
TLX3,ENSG00000164438,1493
TXLNB,ENSG00000164440,4937
